adm1_name,adm1_pcode,mean,year
Baringo,KE030,660.5229734789207,2000
Bomet,KE036,1349.9523748133722,2000
Bungoma,KE039,1460.6084055428507,2000
Busia,KE040,1373.0465507701438,2000
Elgeyo-Marakwet,KE028,1043.5874366984317,2000
Embu,KE014,679.0137479977793,2000
Garissa,KE007,341.0033008151802,2000
Homa Bay,KE043,1201.8056532560897,2000
Isiolo,KE011,145.43189512509,2000
Kajiado,KE034,425.30262825589654,2000
Kakamega,KE037,1502.5810303700177,2000
Kericho,KE035,1329.4356677797448,2000
Kiambu,KE022,625.3530558135218,2000
Kilifi,KE003,964.289379646148,2000
Kirinyaga,KE020,756.297351675487,2000
Kisii,KE045,1698.6632375293666,2000
Kisumu,KE042,1287.2809300377817,2000
Kitui,KE015,547.1665697641088,2000
Kwale,KE002,973.9031632973605,2000
Laikipia,KE031,470.98449953547447,2000
Lamu,KE005,746.9949310634348,2000
Machakos,KE016,523.0422999955906,2000
Makueni,KE017,595.8636641766499,2000
Mandera,KE009,189.3873225922123,2000
Marsabit,KE010,138.45919698338756,2000
Meru,KE012,696.0081954827093,2000
Migori,KE044,1225.8351768029256,2000
Mombasa,KE001,1294.164726223415,2000
Murang'a,KE021,691.4550884128913,2000
Nairobi,KE047,528.6738096042753,2000
Nandi,KE029,1395.9537494432186,2000
Narok,KE033,799.2362115062651,2000
Nyamira,KE046,1638.374671367628,2000
Nyandarua,KE018,738.3846580108751,2000
Nyeri,KE019,749.2534704580033,2000
Samburu,KE025,284.8610192774361,2000
Siaya,KE041,1159.9559235839697,2000
Taita Taveta,KE006,573.5377082164175,2000
Tana River,KE004,369.9959960268877,2000
Tharaka-Nithi,KE013,718.7227053404275,2000
Trans Nzoia,KE026,1150.1916023843514,2000
Turkana,KE023,168.9803673302152,2000
Uasin Gishu,KE027,1040.0172314736162,2000
Vihiga,KE038,1519.8431009458534,2000
Wajir,KE008,146.08310125465607,2000
West Pokot,KE024,638.2316468367668,2000
Nakuru,KE032,722.7018733596412,2000
Baringo,KE030,912.291932288768,2005
Bomet,KE036,1226.34049828964,2005
Bungoma,KE039,1402.1847032153864,2005
Busia,KE040,1383.838122641877,2005
Elgeyo-Marakwet,KE028,1303.2779798823647,2005
Embu,KE014,744.0412817686292,2005
Garissa,KE007,337.29710334858277,2005
Homa Bay,KE043,1113.9744962443926,2005
Isiolo,KE011,188.45406715754706,2005
Kajiado,KE034,441.87110943747433,2005
Kakamega,KE037,1541.524979154665,2005
Kericho,KE035,1363.2024686855846,2005
Kiambu,KE022,858.7207821305709,2005
Kilifi,KE003,706.3549410962117,2005
Kirinyaga,KE020,928.5443607212329,2005
Kisii,KE045,1351.5108493133644,2005
Kisumu,KE042,1261.7904278251688,2005
Kitui,KE015,344.8372739500341,2005
Kwale,KE002,752.6873526583443,2005
Laikipia,KE031,647.374904558368,2005
Lamu,KE005,806.9655248979709,2005
Machakos,KE016,572.1236712459274,2005
Makueni,KE017,426.56578451930505,2005
Mandera,KE009,207.47781232036584,2005
Marsabit,KE010,237.78927919734497,2005
Meru,KE012,840.8672172141415,2005
Migori,KE044,1053.314387924329,2005
Mombasa,KE001,908.7395110075339,2005
Murang'a,KE021,949.5933620960832,2005
Nairobi,KE047,669.0359393091696,2005
Nandi,KE029,1483.3459957342382,2005
Narok,KE033,799.1098560152735,2005
Nyamira,KE046,1289.9977615824837,2005
Nyandarua,KE018,944.516441515033,2005
Nyeri,KE019,931.1435351641899,2005
Samburu,KE025,411.5193053702767,2005
Siaya,KE041,1158.519154586491,2005
Taita Taveta,KE006,376.59845813463465,2005
Tana River,KE004,268.0228782545991,2005
Tharaka-Nithi,KE013,831.8796621710234,2005
Trans Nzoia,KE026,1137.859562034615,2005
Turkana,KE023,290.2877596380877,2005
Uasin Gishu,KE027,1178.1723732816279,2005
Vihiga,KE038,1552.5837117862366,2005
Wajir,KE008,180.45779914339386,2005
West Pokot,KE024,765.0706352989021,2005
Nakuru,KE032,895.4162387566803,2005
Baringo,KE030,1157.8727596027884,2010
Bomet,KE036,1721.2431237463286,2010
Bungoma,KE039,1985.0449649756408,2010
Busia,KE040,1765.8050438857979,2010
Elgeyo-Marakwet,KE028,1662.6365141940175,2010
Embu,KE014,1003.87067270703,2010
Garissa,KE007,514.3661192311735,2010
Homa Bay,KE043,1390.5352872304713,2010
Isiolo,KE011,308.6145206265615,2010
Kajiado,KE034,626.4026952710752,2010
Kakamega,KE037,2109.670536919728,2010
Kericho,KE035,1784.9319869767385,2010
Kiambu,KE022,1196.0225176962754,2010
Kilifi,KE003,924.8396200969529,2010
Kirinyaga,KE020,1201.2472463644017,2010
Kisii,KE045,1893.3401257204814,2010
Kisumu,KE042,1585.2634630959585,2010
Kitui,KE015,630.1140519389888,2010
Kwale,KE002,910.7631247165975,2010
Laikipia,KE031,845.0280504889907,2010
Lamu,KE005,1025.0414061198173,2010
Machakos,KE016,761.0456659611252,2010
Makueni,KE017,664.2072412946168,2010
Mandera,KE009,290.3758566600233,2010
Marsabit,KE010,276.0993711579145,2010
Meru,KE012,1039.226365723393,2010
Migori,KE044,1397.3115371989086,2010
